Name,aka,Country of origin,Sample brands
Pilsner,Pils,Belgium,"Bel Pils (5.3%), Juiler (5.2%), Riva Pils (5%), Slag Lager (4.8%)"
White beer,Witbier,Belgium,"Blanche de Namur (4.5%), Dentegems Witbier (5%), Florisgaarden wit (5%), Hoegaarden Blanche (5%, Titje (5%), Vlaamsch Wit/Blanche des Flandres (Flemish white) (4.5%)"
Gueze,Lambic,Belgium,"Belle-Vue (5.2%), Cantillon (5.5%), De Troch (5.5%), Girardin (5%), Mort Subite (4%)"
